bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
1,1,571,Semifurnished,All,"Icon Windsor Apartments, Wakad, , Pune, Maharashtra",7,East,Vitrified,Yes,No,1,None,None,11,1,0,1,1 to 5 Year Old,0,0,0,0,0,1,0,14000,40000,0,14000
3,3,1450,Unfurnished,Family Only,"Goel Ganga Satellite, Wanowrie, , Pune, Maharashtra",6,West,Vitrified,No,Yes,1,Yes,Yes,22,1,0,2,5 to 10 Year Old,0,1,0,0,0,0,0,30000,10000,0,30000
1,1,550,Unfurnished,All,"Malhar G, Narhe, , Pune, Maharashtra",1,No Direction,Ceramic,Yes,No,1,None,None,11,1,0,1,0 to 1 Year Old,1,0,0,0,0,0,0,0,20000,0,7000
2,2,1100,Semifurnished,Family Only,"Mio Plazzio, Eon Free Zone , , Pune, Maharashtra",7,East,Vitrified,Yes,Yes,1,Yes,Yes,11,1,0,1,1 to 5 Year Old,0,0,1,0,0,0,0,2,3,0,29000
1,1,550,Unfurnished,All,"Madhukar Vishwa, Lohegaon, , Pune, Maharashtra",2,East,Vitrified,Yes,No,1,None,None,12,1,0,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,15000,0,8100
1,1,550,Unfurnished,Family Only,"Suryawanshi, Bhairav Nagar, , Pune, Maharashtra",0,North,Vitrified,No,No,0,None,None,11,1,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,25000,0,9500
3,3,1395,Semifurnished,All,"Nyati Enclave, Mohamadwadi, , Pune, Maharashtra",2,North,Not provided,Yes,No,1,Yes,Yes,11,1,1,2,10+ Year Old,1,0,0,0,0,0,Maintenance 3500/ (/ month,0,10,3500,25000
1,1,640,Furnished,All,"KHANDOJI NIWAS, HINJEWADI MAIN ROAD, , Pune, Maharashtra",1,East,Marble,No,No,1,Yes,Yes,11,1,0,1,0 to 1 Year Old,0,0,0,0,0,1,0,6500,15000,0,6500
2,2,0,Furnished,All,"Gaikwad Vaidehi Riviera, Bavdhan, , Pune, Maharashtra",6,East,Vitrified,Yes,No,1,None,Yes,0,0,0,1,5 to 10 Year Old,1,0,0,0,0,0,0,20000,40000,0,25000
1,1,556,Unfurnished,All,"on request, Dasar, , Pune, Maharashtra",2,East,Not provided,Yes,No,1,None,None,0,0,0,1,1 to 5 Year Old,1,0,0,0,0,0,0,14000,0,0,14679
1,1,550,Unfurnished,"Family , Bachelors (Women Only)","Swapnvishwa Park, Uruli Devachi, , Pune, Maharashtra",0,East,Marble,No,No,1,None,None,11,1,0,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,15000,0,6000
